scene,block_type,condition,question_SPAN,yes_prop (clean_data) TFM,yes_prop (trial_data) TFM,RT_median_by_question (trial_data) TFM,RT_p_by_scenario (trial_data) TFM,MAD_by_question TFM,MAD_p_by_scenario TFM,AUC_by_question TFM,AUC_p_by_scenario TFM,text_violation,purpose_violation,congruency,origin_ENGL,rule_ENGL,question_ENGL,character_count_ENGL,origin_SPAN,rule_SPAN,question_SPAN.1,character_count_SPAN,audio_file
authorisation,experimental,under,Un miembro del laboratorio pasa la noche durmiendo sobre un equipo de laboratorio frágil.,24.36%,26.76%,,,306.1345,0.068973,79263.92,0.711433,0,1,incongruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A lab member spends the night sleeping on fragile lab equipment.,64,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un miembro del laboratorio pasa la noche durmiendo sobre un equipo de laboratorio frágil.,,audio/sentence_10.wav
authorisation,experimental,under,Un miembro del laboratorio se queda después del trabajo y se emborracha en el laboratorio.,41.03%,39.19%,,,388.7698,0.068973,106847.2,0.711433,0,1,incongruent,A careless member of the public caused an accident in a scientific laboratory.,"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".",A lab member stays after work and gets drunk in the laboratory.,63,Un ciudadano descuidado provocó un accidente en un laboratorio científico.,"Para evitar accidentes, el director del laboratorio estableció la siguiente regla: ""Acceso exclusivo para el personal del laboratorio"".",Un miembro del laboratorio se queda después del trabajo y se emborracha en el laboratorio.,,audio/sentence_11.wav
cars,experimental,core,Un taxista toma un atajo por el parque para ahorrar tiempo.,98.72%,100.00%,,,252.4459,0.000126,79044.01,0.385703,1,1,congruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A taxi driver takes a shortcut through the park to save time.,61,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un taxista toma un atajo por el parque para ahorrar tiempo.,,audio/sentence_12.wav
cars,experimental,core,Una limusina roja atraviesa el parque a petición del DJ.,96.15%,100.00%,,,227.2675,0.000126,58099.34,0.385703,1,1,congruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A red party limo drives through the park at the DJ's request.,61,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Una limusina roja atraviesa el parque a petición del DJ.,,audio/sentence_13.wav
cars,experimental,core,Una persona conduce su coche nuevo por el parque a mediodía.,98.72%,100.00%,,,233.5095,0.000126,69894.04,0.385703,1,1,congruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A person test-drives their new car through the park at noon.,60,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Una persona conduce su coche nuevo por el parque a mediodía.,,audio/sentence_14.wav
cars,experimental,off,Un paisajista empuja una carretilla gris por el parque.,5.13%,0.00%,,,243.624,0.000126,69602.14,0.385703,0,0,congruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A landscaper pushes a grey wheelbarrow through the park.,56,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un paisajista empuja una carretilla gris por el parque.,,audio/sentence_15.wav
cars,experimental,off,Una pareja pasea a su hija en un cochecito de bebe por el parque.,0.00%,0.00%,,,219.7399,0.000126,68751.08,0.385703,0,0,congruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A couple walk their new baby through the park in a stroller.,60,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Una pareja pasea a su hija en un cochecito de bebe por el parque.,,audio/sentence_16.wav
cars,experimental,off,Una persona corre por el parque para hacer ejercicio.,0.00%,0.00%,,,239.8086,0.000126,72337.03,0.385703,0,0,congruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A person jogs through the park to get some daily exercise.,58,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Una persona corre por el parque para hacer ejercicio.,,audio/sentence_17.wav
cars,experimental,over,Un artista instala un coche de carreras en el parque en honor a los héroes locales.,46.15%,48.61%,,,301.2968,0.000126,72429.47,0.385703,1,0,incongruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",An artist installs a race car in the park to honor local heroes.,64,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un artista instala un coche de carreras en el parque en honor a los héroes locales.,,audio/sentence_18.wav
cars,experimental,over,Un jardinero aparca un camión en el parque para podar un árbol.,32.05%,32.88%,,,290.056,0.000126,70829.14,0.385703,1,0,incongruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A landscaper parks a truck in the park to remove a tree.,56,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un jardinero aparca un camión en el parque para podar un árbol.,,audio/sentence_19.wav
cars,experimental,over,Un señor conduce lentamente una grúa por el parque para retirar un coche.,21.79%,21.92%,,,420.8264,0.000126,100151.6,0.385703,1,0,incongruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A man drives a tow-truck slowly into the park to remove a car.,62,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un señor conduce lentamente una grúa por el parque para retirar un coche.,,audio/sentence_20.wav
cars,experimental,under,Un grupo de amigos recorre el parque en una bicibar.,8.97%,9.59%,,,216.2161,0.000126,54619.65,0.385703,0,1,incongruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A group of friends cycle through the park on a beer bike.,57,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un grupo de amigos recorre el parque en una bicibar.,,audio/sentence_21.wav
cars,experimental,under,Un repartidor en moto toma un atajo por el parque.,71.79%,74.32%,,,262.1865,0.000126,74265.05,0.385703,0,1,incongruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A motorcycle courier takes a shortcut through the park.,55,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Un repartidor en moto toma un atajo por el parque.,,audio/sentence_22.wav
cars,experimental,under,Una persona atraviesa el parque a toda velocidad en su patinete eléctrico.,25.64%,27.03%,,,313.5949,0.000126,76903.45,0.385703,0,1,incongruent,"At the local park, a tragic accident took place involving a pedestrian and a car.","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".",A person speeds through the park in their electric scooter.,59,En un parque local se produjo un trágico accidente entre un peatón y un coche.,"Para evitar accidentes, las autoridades municipales establecieron la siguiente ordenanza: ""No se permiten coches dentro del parque"".",Una persona atraviesa el parque a toda velocidad en su patinete eléctrico.,,audio/sentence_23.wav
dogs,experimental,core,Un cliente almuerza en el restaurante con su galgo.,96.15%,100.00%,,,308.7741,0.00156,79530.99,0.432478,1,1,congruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A customer has lunch at the restaurant with his pet greyhound.,62,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un cliente almuerza en el restaurante con su galgo.,,audio/sentence_24.wav
dogs,experimental,core,Una clienta lleva a su bulldog al restaurante para comer.,98.72%,100.00%,,,213.6173,0.00156,69232.74,0.432478,1,1,congruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A customer brings her pet bulldog into the restaurant for lunch.,64,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Una clienta lleva a su bulldog al restaurante para comer.,,audio/sentence_25.wav
dogs,experimental,core,Una pareja lleva a su mastín al restaurante para cenar.,97.44%,100.00%,,,278.6634,0.00156,86786.68,0.432478,1,1,congruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A couple bring their pet foxhound into the restaurant for dinner.,65,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Una pareja lleva a su mastín al restaurante para cenar.,,audio/sentence_26.wav
dogs,experimental,off,Un carpintero lleva su caja de herramientas al restaurante a la hora de comer.,0.00%,0.00%,,,216.8759,0.00156,60066.31,0.432478,0,0,congruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A carpenter brings his toolbox along to the restaurant at lunch.,64,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un carpintero lleva su caja de herramientas al restaurante a la hora de comer.,,audio/sentence_27.wav
dogs,experimental,off,Un cliente entra en el restaurante con su bicicleta plegable.,0.00%,0.00%,,,274.1401,0.00156,74762.73,0.432478,0,0,congruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A customer walks into the restaurant with her foldable bike.,60,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un cliente entra en el restaurante con su bicicleta plegable.,,audio/sentence_28.wav
dogs,experimental,off,Un cliente trae consigo al restaurante una pila de libros usados.,0.00%,0.00%,,,285.7801,0.00156,72098.17,0.432478,0,0,congruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A customer brings a stack of used books into the restaurant.,60,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un cliente trae consigo al restaurante una pila de libros usados.,,audio/sentence_29.wav
dogs,experimental,over,Un hombre lleva a un perro herido al restaurante para pedir ayuda.,29.49%,31.51%,,,298.4006,0.00156,55243.11,0.432478,1,0,incongruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A man carries an injured dog into the restaurant to ask for help.,65,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un hombre lleva a un perro herido al restaurante para pedir ayuda.,,audio/sentence_30.wav
dogs,experimental,over,Una persona invidente trae al restaurante a su perro guía adiestrado.,32.05%,34.25%,,,303.301,0.00156,80922.54,0.432478,1,0,incongruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A blind man brings his trained guide dog into the restaurant.,61,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Una persona invidente trae al restaurante a su perro guía adiestrado.,,audio/sentence_31.wav
dogs,experimental,over,Una veterana de guerra lleva al restaurante a su perro de terapia.,51.28%,53.42%,,,371.9212,0.00156,90883.18,0.432478,1,0,incongruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A veteran brings her trained therapy dog into the restaurant.,61,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Una veterana de guerra lleva al restaurante a su perro de terapia.,,audio/sentence_32.wav
dogs,experimental,under,Un artista lleva a su revoltoso mono mascota al restaurante.,35.90%,35.53%,,,283.8103,0.00156,75655.77,0.432478,0,1,incongruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",An artist brings his rowdy pet monkey into the restaurant.,58,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un artista lleva a su revoltoso mono mascota al restaurante.,,audio/sentence_33.wav
dogs,experimental,under,Un científico lleva al restaurante a un zorro salvaje.,43.59%,43.42%,,,302.2488,0.00156,73828.24,0.432478,0,1,incongruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",An animal scientist brings a misbehaved fox into the restaurant.,64,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un científico lleva al restaurante a un zorro salvaje.,,audio/sentence_34.wav
dogs,experimental,under,Un cliente entra en el restaurante con su loro parlanchín.,26.92%,27.63%,,,322.4781,0.00156,93318.61,0.432478,0,1,incongruent,A restaurant's customers had their meals interrupted by a poorly behaved pet dog.,"To address this problem, the owner posted a rule: ""No dogs allowed in the restaurant"".",A customer walks into the restaurant with his talkative parrot.,63,Un perro mal adiestrado frecuentemente incordiaba a los clientes de un restaurante.,"Para solucionar el problema, el dueño estableció una regla: ""No se admiten perros en el restaurante"".",Un cliente entra en el restaurante con su loro parlanchín.,,audio/sentence_35.wav
drinking,experimental,core,Un joven conduce después de beber copas en un festival de música.,97.44%,100.00%,,,198.5933,0.000179,46710.96,0.027575,1,1,congruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A young man drives home after drinking heavily at a music festival.,68,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Un joven conduce después de beber copas en un festival de música.,,audio/sentence_36.wav
drinking,experimental,core,Una mujer conduce a casa después de beber whisky en el cine.,97.44%,100.00%,,,238.7062,0.000179,63433.36,0.027575,1,1,congruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A woman drives home after drinking whiskey at the movie theater.,64,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Una mujer conduce a casa después de beber whisky en el cine.,,audio/sentence_37.wav
drinking,experimental,core,"Una noche, dos motoristas borrachos se echan una carrera en una oscura carretera secundaria.",100.00%,100.00%,,,233.155,0.000179,61117.29,0.027575,1,1,congruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",One night two drunk motorbikers race each other on a dark backroad.,67,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".","Una noche, dos motoristas borrachos se echan una carrera en una oscura carretera secundaria.",,audio/sentence_38.wav
drinking,experimental,off,Un hombre sobrio mueve su coche para dejar salir a un invitado.,10.26%,0.00%,,,238.0156,0.000179,57439.37,0.027575,0,0,congruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A sober man re-parks his car in the cul-de-sac to let a guest out.,66,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Un hombre sobrio mueve su coche para dejar salir a un invitado.,,audio/sentence_39.wav
drinking,experimental,off,Un hombre sobrio vuelve a casa en moto después de jugar a juegos de mesa.,10.26%,0.00%,,,268.8491,0.000179,72318.83,0.027575,0,0,congruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A sober man rides his motorcycle home after playing board games.,64,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Un hombre sobrio vuelve a casa en moto después de jugar a juegos de mesa.,,audio/sentence_40.wav
drinking,experimental,off,Una mujer conduce después de beber un refresco en el cine.,0.00%,0.00%,,,328.7518,0.000179,93195.16,0.027575,0,0,congruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A woman drives home after drinking soda at the movie theater.,61,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Una mujer conduce después de beber un refresco en el cine.,,audio/sentence_41.wav
drinking,experimental,over,Un hombre borracho lleva a su mujer al hospital cuando se pone de parto.,83.33%,84.93%,,,321.3774,0.000179,68802.53,0.027575,1,0,incongruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A drunk man drives his wife to the hospital as she goes into labor.,67,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Un hombre borracho lleva a su mujer al hospital cuando se pone de parto.,,audio/sentence_42.wav
drinking,experimental,over,Un vecino toma un sorbo de vino y mueve su coche para dejar salir a sus invitados.,44.87%,46.58%,,,369.2989,0.000179,99024.18,0.027575,1,0,incongruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A neighbor sips on wine and re-parks his car in the cul-de-sac.,63,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Un vecino toma un sorbo de vino y mueve su coche para dejar salir a sus invitados.,,audio/sentence_43.wav
drinking,experimental,over,Una persona conduce al trabajo después de usar enjuague bucal con alcohol.,12.82%,12.50%,,,286.714,0.000179,83419.51,0.027575,1,0,incongruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A person drives to work after using alcohol-based mouthwash.,60,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Una persona conduce al trabajo después de usar enjuague bucal con alcohol.,,audio/sentence_44.wav
drinking,experimental,under,Un joven vuelve a casa en moto después de fumar marihuana.,25.64%,24.32%,,,290.5601,0.000179,75805.22,0.027575,0,1,incongruent,Drunk drivers pose a serious risk to other road users.,"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".",A young man rides his motorcycle home after smoking marihuana.,62,Los conductores ebrios suponen un grave riesgo para los demás usuarios de la vía pública.,"Para reducir los accidentes de tráfico, se aprobó una política de tolerancia cero: ""Prohibido conducir con cualquier tasa de alcohol"".",Un joven vuelve a casa en moto después de fumar marihuana.,,audio/sentence_45.wav
